user_id,zip_code,age,tenure,churn
6252,ZIP_29,28,81,0
4684,ZIP_1,53,91,0
1731,ZIP_28,56,9,0
4742,ZIP_73,44,5,0
4521,ZIP_97,24,41,0
6340,ZIP_70,26,22,0
576,ZIP_73,51,17,0
5202,ZIP_8,55,65,0
6363,ZIP_83,18,10,1
439,ZIP_24,41,72,0
2750,ZIP_84,23,20,0
7487,ZIP_55,56,96,0
5272,ZIP_3,56,26,0
5653,ZIP_5,35,7,0
3999,ZIP_65,48,41,0
6033,ZIP_70,58,15,0
582,ZIP_74,32,50,0
9930,ZIP_61,41,63,0
7051,ZIP_61,56,16,0
8158,ZIP_78,38,81,0
9896,ZIP_88,20,89,0
2249,ZIP_0,61,23,0
4640,ZIP_99,22,12,0
9485,ZIP_17,42,76,0
4947,ZIP_60,18,31,1
9920,ZIP_92,22,7,1
1963,ZIP_16,49,31,0
8243,ZIP_17,30,23,0
6590,ZIP_37,54,59,0
8847,ZIP_35,32,93,0
321,ZIP_34,60,17,0
2678,ZIP_62,48,87,0
4625,ZIP_83,32,22,0
4949,ZIP_87,21,27,0
8328,ZIP_18,65,28,0
3337,ZIP_92,57,34,0
5589,ZIP_80,63,5,0
251,ZIP_15,22,90,0
3973,ZIP_33,24,77,0
6630,ZIP_91,29,55,0
5547,ZIP_21,69,13,0
35,ZIP_79,43,27,0
8362,ZIP_16,21,69,1
1513,ZIP_82,58,58,0
9317,ZIP_28,52,16,0
39,ZIP_46,60,51,0
4819,ZIP_78,26,48,0
3465,ZIP_37,32,87,0
1760,ZIP_68,62,5,1
2304,ZIP_69,50,45,0
3723,ZIP_66,44,98,0
8284,ZIP_61,39,23,0
4993,ZIP_4,33,79,0
8127,ZIP_92,23,52,1
3032,ZIP_82,56,92,0
7938,ZIP_9,39,25,0
3039,ZIP_99,30,48,0
9655,ZIP_34,18,72,0
2545,ZIP_68,46,45,0
2592,ZIP_64,19,54,0
1188,ZIP_37,23,65,0
7966,ZIP_56,59,75,0
6077,ZIP_92,33,6,0
107,ZIP_64,57,22,0
1315,ZIP_48,56,6,0
8187,ZIP_70,68,97,0
2753,ZIP_44,41,83,0
9753,ZIP_68,64,84,0
6231,ZIP_18,48,41,0
2876,ZIP_97,38,85,0
5323,ZIP_90,49,22,0
799,ZIP_58,37,19,0
3570,ZIP_5,29,25,0
2894,ZIP_31,35,83,0
